placeholder,7,1
woniani,25,1
Dogfish,23,1
Flying Dog,22,1
Founders,21,1
Stone,20,1
Bells,19,1
Victory,18,1
21st Amendment,17,1
Yards,16,1
Lagunitas,15,1
Brooklyn,14,1
Duvel,13,1
Rogue,12,1
Full Sail,11,1
Left Hand,10,1
Allagash,25,1
Dogfish,23,1
Flying Dog,22,1
Founders,21,1
Stone,20,1
Bells,19,1
Victory,18,1
21st Amendment,17,1
Yards,16,1
Lagunitas,15,1
Brooklyn,14,1
Duvel,13,1
Rogue,12,1
Full Sail,11,1
Left Hand,10,1
Allagash,25,1
Dogfish,23,1
Flying Dog,22,1
Founders,21,1
Stone,20,1
Bells,19,1
Victory,18,1
21st Amendment,17,1
Yards,16,1
Lagunitas,15,1
Brooklyn,14,1
Duvel,13,1
Rogue,12,1
Full Sail,11,1
Left Hand,10,1
Allagash,25,1
Dogfish,23,1
Flying Dog,22,1
Founders,21,1
Stone,20,1
